FPPC,Committee_Name,Candidate,Aliases,Office,Incumbent,Accepted_expenditure_ceiling,Website,Twitter,Party_Affiliation,Occupation,Bio,Photo,VotersEdge,Internal_Notes
1382679,Re-elect City Attorney Barbara Parker 2016,Barbara Parker,,City Attorney,TRUE,TRUE,http://www.cityattorneyparker.com/,@barbarajparker1,Democrat,"Incumbent, City Attorney","Barbara Parker was appointed City Attorney in 2011 after the retirement of then-City Attorney John Russo. Prior to becoming City Attorney, Parker served for 20 years in the Oakland City Attorney’s Office, including ten years as Chief Assistant City Attorney. Parker graduated from Harvard Law in 1975 and has worked as an attorney in the private sector for two major corporations and two prominent law firms. She has served as the manager of a large public agency and as an attorney at all levels of government—federal, state, and local—including more than five years as an Assistant United States Attorney for the Northern District of California, where she represented the U.S. in federal court litigation. In 2005, the State Bar Board of Governors selected Parker for an appointment to the State Judicial Council. 

Source: http://www.cityattorneyparker.com/about and campaign website.",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Barbara-Parker.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13239/candidate/130764?&county=Alameda%20County&election_authority_id=1,Photo: provided by candidate
1381183,Kaplan for Oakland City Council 2016,Rebecca Kaplan,"Rebecca D. Kaplan,R. D. Kaplan",City Council At-Large,TRUE,TRUE,http://kaplanforoakland.org/,@kaplan4oakland,Democrat,"Incumbent, City Council member At-Large","Rebecca Kaplan was elected Councilmember-at-Large in 2008 and re-elected in 2012. Before joining the Oakland City Council, she served as an elected Director on the AC Transit Board and worked as housing rights attorney in Oakland. Kaplan holds a Juris Doctorate in Law from Stanford Law School and a Master of Arts in Urban & Environmental Policy from Tufts University. Source: Candidate Statement and campaign website.",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/rebecca-kaplan.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13234/candidate/130751?&county=Alameda%20County&election_authority_id=1,Photo: http://postnewsgroup.com/wp-content/uploads/2014/07/rebecca-kaplan-e1409784911427-620x748.jpg
1387267,Bruce Quan for City Council 2016,Bruce Quan,,City Council At-Large,FALSE,TRUE,http://www.bruceforoakland.com/,@BruceforOakland,,Real Estate Attorney,"Bruce Quan is a retired attorney, Quan worked as the Assistant General Counsel for the Redevelopment Agency of the City of San Jose and served as interim City Attorney for the City of Alameda. He also served as general counsel of the Organization of Chinese Americans (OCA), a national civil rights group based in Washington, He co-founded a law firm, Katz, Quan, and Kors. Quan is also an official with Zarsion, real estate developer and investment firm, partner in Brooklyn Basin development project in the Jack London Square area.Quan volunteers with the Chinese Coalition as well as Oakland Community Organizations (OCO) to address issues of housing displacement, youth civic leadership, and criminal justice for minorities.Quan has taught as a visiting Associate Professor at Peking University Law School and as an Adjunct Professor at U.C. Hastings College of Law. Quan earned his undergraduate degree from UC Berkeley and a law degree from the UC Berkeley Law School.

Source: http://www.bruceforoakland.com/meet_bruce and http://www.bruceforoakland.com/news.

",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Bruce_Quan.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13234/candidate/130753?&county=Alameda%20County&election_authority_id=1,No candidate statement submitted. Photo: http://www.bruceforoakland.com/meet_bruce
1386741,"Committee to Elect Nancy Sidebotham, Councilmember At Large, 2016",Nancy Sidebotham,,City Council At-Large,FALSE,TRUE,http://nancysidebotham.com/,@nancy6368,Democrat,Tax Preparer,"Nancy Sidebotham has lived and worked in Oakland since 1964. She served for 15 years as Chairperson of the Neighborhood Crime Prevention Committee (NCPC) for beat 29X, on the Community Policing Advisory Board (CPAB), and on Neighborhood Watch. Sidebotham graduated from Merritt College in 1968 and California State University Hayward in 1970. 

Source: Candidate Statement and survey",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/nancy-sidebotham2.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13234/candidate/130754?&county=Alameda%20County&election_authority_id=1,"Photo: http://www.eastbaytimes.com/breaking-news/ci_26808074/long-shots-look-unseat-oakland-mayor-jean-quan and Photo credit: Oakland mayoral candidate Nancy Sidebotham is photographed at the Oakland Tribune studio on Aug. 26, 2014. (Laura A. Oda/Bay Area News Group)"
,,Francis Matt Hummell,,City Council At-Large,FALSE,,http://matt4thepeople.nationbuilder.com/,,,"Chair, Cannabis Regulatory Commission","Francis Matt Hummel moved to Oakland from Stockton in 1992. He is Chair of the Cannabis Regulatory Commission. 

Source: Candidate Statement",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/F-Matt-Hummell.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13234/candidate/130750?&county=Alameda%20County&election_authority_id=1,Pretty sure this is him:  https://www.facebook.com/fmatt.hummel Last checked: 8/9/2016
1388168,Moore for Oakland City Council At-Large 2016,Peggy Moore,,City Council At-Large,FALSE,TRUE,http://www.mooreforoakland.com/,,Democrat,,"Peggy Moore has served as a Senior Advisor to Oakland Mayor Libby Schaaf and as California Political Director for two winning presidential campaigns. She grew up in Oklahoma City and moved to Oakland in 1990. She has held leadership roles in LGBTQ and African American organizations. 

Source: Candidate Statement",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Margaret-Moore.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13234/candidate/130752?&county=Alameda%20County&election_authority_id=1,Photo: Greg Linhares/City of Oakland
1386081,"Kevin Corbett for Oakland City Council 2016, District 1",Kevin Corbett,,City Council District 1,FALSE,TRUE,http://www.corbett4oakland.com/meet-kevin/,,Democrat,"Probate Attorney, Business Person and Community Volunteer","Kevin Corbett is a practicing attorney and has run his own law practice for the past 30 years. Corbett attended Bishop O'Dowd High School in Oakland and earned his Bachelor’s Degree and Juris Doctorate from Santa Clara University. He has worked as a Business Law Professor at Vista Community College and Holy Names University. 

Source: Candidate survey and http://www.corbett4oakland.com/",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Kevin-Corbett.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13235/candidate/130755?&county=Alameda%20County&election_authority_id=1,Photo: http://www.corbett4oakland.com/wp-content/themes/KevinCorbett/images/Photo-For-Website-Edited.jpg
1382408,Re-Elect Dan Kalb Oakland City Council 2016,Dan Kalb,,City Council District 1,TRUE,TRUE,https://dankalb.net,@dankalb,Democrat,"Incumbent, City Council member","Dan Kalb was elected in 2013 to represent District 1 in Oakland City Council. Past roles Kalb has held include policy analyst, environmental, public interest, and social justice advocate, policy director, progressive reformer, and community service volunteer. Kalb serves as the City’s official representative on the StopWaste Board of Directors and is on the East Bay Jewish Community Relations Council Board of Directors. He was the California Policy Director with the Union of Concerned Scientists from 2003 to 2012. He received a Bachelor's of Science in Conservation of Natural Resources from UC Berkeley and a Masters of Public Administration from the University of San Francisco. 

Source: http://www.dankalb.net/",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/dan-kalb2.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13235/candidate/130756?&county=Alameda%20County&election_authority_id=1,Photo: https://d3n8a8pro7vhmx.cloudfront.net/dankalb/pages/1/attachments/original/1347931842/Kalb_Headshot.jpg?1347931842
1375179,Re-Elect McElhaney for City Council 2016,Lynette Gibson McElhaney,,City Council District 3,TRUE,TRUE,http://www.lynettemcelhaney.com/,@lynettegm,Democrat,"Incumbent, City Council member","Lynnette McElhaney currently serves as an Oakland City Council member representing District 3 and has advocated for the betterment of Oakland in terms of enhancing jobs, public safety, education and the economy. She earned a degree from UC Berkeley and moved to West Oakland after graduating college. 

Source: http://www.lynettemcelhaney.com/",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Lynette-Gibson-McElhaney.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13236/candidate/130757?&county=Alameda%20County&election_authority_id=1,Last checked on 8/9/2016; Photo: http://www.lynettemcelhaney.com/wp-content/uploads/2016/04/12299175_875788329201712_8746912568351055489_n-300x300.jpg
1386922,Noni D. Session for City Council 2016,Noni Session,,City Council District 3,FALSE,TRUE,http://www.nonifordistrict3.com/,"@NoniSession
",Democrat,Assistant Librarian,"Noni Session is a lifelong resident of Oakland and attended Oakland public schools. Session served as a special education teacher at Harbor Way Academy Elementary School. She graduated with a degree in Cultural Anthropology and African American Studies from San Francisco State University and received her Ph.D. in Cultural Anthropology from Cornell University. Session’s doctoral research in Nairobi, Kenya on Bureaucratic Organizations & Humanitarianism led her to work with the United Nations Development Programme as a Researcher and Government Liaison. 

Source: https://www.crowdpac.com/campaigns/68285/support-noni-session-for-oakland-city-council-distict-3",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Noni-Session2.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13236/candidate/130758?&county=Alameda%20County&election_authority_id=1,"Photo: provided by candidate. Also Facebook Link: https://www.facebook.com/NoniDSessionforCityCouncil/home?ref=page_internal Photo: https://res.cloudinary.com/crowdpac/image/upload/c_fill,g_face,h_370,w_620/v1/uploads/c5baqlxobusmzprtmx4c.jpg"
1388641,ReElect Noel Gallo for Oakland City Council 2016,Noel Gallo,,City Council District 5,TRUE,TRUE,http://galloforoakland.com/,@noelgallo5,Democrat,"Incumbent, City Council member","Noel Gallo was elected to the Oakland City Council in 2012 to represent District 5. He serves as Co-Chair of the Oakland City Council Education Partnership Committee, and a member of the Life Enrichment, Public Works, and Public Safety City Council Committees. He represents the City of Oakland as a member of the AC Transit Bus Rapid Transit (BRT) Policy Steering Committee. Prior to joining the council, Gallo was elected and served on the Oakland Board of Education for 20 years. 
Gallo is a lifelong resident of Oakland; he grew up in the Fruitvale/San Antonio District neighborhoods. He graduated from the University of California, Berkeley, with a Business Degree. 
Source: Candidate statement and website
",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Noel-Gallo.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13237/candidate/130759?&county=Alameda%20County&election_authority_id=1,Photo: provided by candidate & http://galloforoakland.com/wp-content/uploads/2011/04/10411073_973324639346355_3661549866752482957_n.jpg
1387192,Viola Gonzales for City Council 2016,Viola Gonzales,,City Council District 5,FALSE,TRUE,http://www.voteviola.com/,@voteviola,Democrat,Nonprofit Executive,"Viola Gonzales was the Chief Executive Officer of AnewAmerica Community Corporation, a non-profit that helps immigrants and refugees start small and micro-businesses. Gonzales has been Executive Director for a non-profit residential program for developmentally disabled kids based in Oakland for the past eight years. Her volunteer service has included corporate advisory, nonprofit and civic boards. In 2002, Gonzales was appointed to the Oakland Board of Education by then-Mayor Jerry Brown. Prior to this appointment, she served on the Oakland Planning Commission. 

Source: http://www.anewamerica.org/index.php/news/events/173-changes-in-leadership-at-anewamerica , https://www.linkedin.com/in/violagonzales , http://boedocdepot.ousd.k12.ca.us/boe-webextender/bextest/ViolaGonzales.asp , and candidate survey

",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Viola-Gonzales.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13237/candidate/130760?&county=Alameda%20County&election_authority_id=1,Photo: provided by candidate
1388731,Hodge 4 Oakland City Council 2016,Marcie Hodge,,City Council District 7,FALSE,FALSE,http://hodge4oaklandcitycouncil.com/,,Democrat,Non-profit Executive Director,"Marcie Hodge is the Executive Director for SJBH, Inc. (St. John Boys Home, Inc.(?)), a non-profit residential program for developmentally disabled kids based in Oakland for the past eight years. Hodge served two terms as a trustee on the Peralta Community College Board from 2004–12, Oakland Budget Committee, and other education-focused committees. Hodge holds two master’s degrees in Counseling Psychology and Organizational Psychology from Alliant International University-Fresno. Hodge ran for mayor of Oakland in 2010. 

Source: https://www.linkedin.com/in/marcie-hodge-ba17b2b and candidate website",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Marcie-Hodge.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13238/candidate/130761?&county=Alameda%20County&election_authority_id=1,Photo: provided by candidate.
1386932,Nehanda Imara for City Council 2016,Nehanda Imara,,City Council District 7,FALSE,TRUE,http://www.nehandafordistrict7.com/,@NehandaForD7,,East Oakland Community Organizer,"Nehanda Imara is an Oakland resident, organizer, educator and adjunct teacher for African American and Environmental Studies at Merritt College. She is a Community Organizer for Communities for a Better Environment. She is a member of the Board of Directors of Leadership Excellence, a non-profit African American youth organization in Oakland and member of the East Oakland Building Healthy Community initiative. Imara also serves as Co-coordinator of Merritt’s “Black Consciousness Raising Tours of Africa and the African Diaspora.  

Source: http://www.cbecal.org/about/staff/",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/Nehanda_Imara.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13238/candidate/130762?&county=Alameda%20County&election_authority_id=1,
1387905,Re-Elect Larry Reid for Council 2016,Larry Reid,,City Council District 7,TRUE,TRUE,https://www.facebook.com/LarryReid4District7/,,,Councilmember for District 7,"Larry Reid has been a Councilmember for District 7 since 1997. Reid is a member of the Public Works and Rules and Legislation Committees for the City of Oakland and is Chairman of the Community and Economic Development Committee. Reid served as Chief of Staff for former Oakland City Councilmember Aleta Cannon and former Mayor and Assemblymember Elihu Harris. He was born and raised in Cincinnati, Ohio and attended the University of Cincinnati. 

Source: http://www2.oaklandnet.com/government/o/CityCouncil/o/District7/index.htm and http://www2.oaklandnet.com/government/o/CityCouncil/o/District7/a/Profile/index.htm
",https://s3-us-west-1.amazonaws.com/odca-candidate-photos/larry-reid.png,http://votersedge.org/ca/en/ballot/election/area/42/contests/contest/13238/candidate/130763?&county=Alameda%20County&election_authority_id=1,
